Index,Name,Lat,Lng,Type
60,경기 하남시,37.525113255542166,127.16934756940609,Node
61,경기 화성시,37.1843368554217,127.0775848249755,Node
62,경남 거제시,34.84942558618088,128.5906145222627,Node
63,경남 거창군,35.799937858926555,128.0423759856685,Node
64,경남 고성군,35.12239298795682,128.2988869115569,Node
65,경남 김해시,35.22350142468614,128.88531251293233,Node
66,경남 남해군,34.901860983694746,127.85508905939976,Node
67,경남 밀양시,35.479547765158344,128.79160668516636,Node
68,경남 사천시,35.15730644570044,127.98111740374516,Node
69,경남 산청군,35.42260038123129,127.87106263958722,Node
70,경남 양산시,35.35528384901234,129.03229995353735,Node
71,경남 의령군,35.329652478153434,128.25139795463815,Node
72,경남 진주시,35.14837791894814,128.12492204966088,Node
73,경남 창녕군,35.488212016647395,128.50964821644965,Node
74,경남 창원시,35.15108359995406,128.59088092368913,Node
75,경남 통영시,34.898685978442444,128.4158007519325,Node
76,경남 하동군,35.03502566895616,127.84286649449618,Node
77,경남 함안군,35.28611744777136,128.39625122437425,Node
78,경남 함양군,35.400403007620454,127.67805878717324,Node
79,경남 합천군,35.74936124415895,128.10164789754327,Node
80,경북 경산시,35.82596113799529,128.7800588582068,Node
81,경북 경주시,35.80920877599627,129.50428405334137,Node
82,경북 고령군,35.71911706883875,128.34208558839782,Node
83,경북 구미시,36.139492189921185,128.4124770414379,Node
84,대구 군위군,36.25273298577058,128.63406861464878,Node
85,경북 김천시,36.21508243258867,128.21719619569916,Node
86,경북 문경시,36.64231942984725,128.10167802406667,Node
87,경북 봉화군,36.865570459895785,128.86032291251513,Node
88,경북 상주시,36.392325207698946,128.1501383595145,Node
89,경북 성주군,35.88179890051748,128.15424702843117,Node
90,경북 안동시,36.56654275295284,128.72121611908568,Node
91,경북 영덕군,36.37089784882038,129.39161604272954,Node
92,경북 영양군,36.542338277074165,129.15156614347103,Node
93,경북 영주시,36.82048995337904,128.61915659016606,Node
94,경북 영천시,36.00623460988264,129.0917918539588,Node
95,경북 예천군,36.724353409056285,128.5026638602488,Node
96,경북 울릉군,37.52237056980738,130.87469373559443,Node
97,경북 울진군,36.9437407845803,129.38982503343243,Node
98,경북 의성군,36.22125405504776,128.73962802975532,Node
99,경북 청도군,35.65154562749011,128.67691111887834,Node
100,경북 청송군,36.35324560446217,129.06255044404668,Node
101,경북 칠곡군,36.0605337042467,128.6054462102963,Node
102,경북 포항시,35.998237726358475,129.3818105576687,Node
103,광주 광산구,35.204730657617674,126.77791780482563,Node
104,광주 남구,35.14844039765543,126.90944307493491,Node
105,광주 동구,35.16317535371884,126.9221800459986,Node
106,광주 북구,35.1790200774616,126.95324380435748,Node
107,광주 서구,35.16444939035617,126.88586023233852,Node
108,대구 남구,35.85140543269211,128.5952844451781,Node
109,대구 달서구,35.84784833115437,128.5128525452841,Node
110,대구 달성군,35.78878603190768,128.6349226740507,Node
111,대구 동구,35.895769946251605,128.71590405548355,Node
112,대구 북구,35.912382840748144,128.61146339311733,Node
113,대구 서구,35.866096575805514,128.5665996244242,Node
114,대구 수성구,35.857605590231486,128.68383255143343,Node
115,대구 중구,35.87059746128577,128.58522127176735,Node
116,대전 대덕구,36.43085718082179,127.48106121751488,Node
117,대전 동구,36.3489689717013,127.45919361805706,Node
118,대전 서구,36.304205211102854,127.35837271125084,Node
119,대전 유성구,36.379109420997246,127.36417917811087,Node
120,대전 중구,36.28247423594408,127.42945067522784,Node
121,부산 강서구,35.22440372982817,128.9432570356837,Node
122,부산 금정구,35.260301112356956,129.10387036073993,Node
123,부산 기장군,35.25788481824284,129.21860203528206,Node
124,부산 남구,35.12016559614159,129.0889236896601,Node
125,부산 동구,35.138638074777084,129.056216764911,Node
126,부산 동래구,35.199146369554406,129.09360683940935,Node
127,부산 부산진구,35.157213284450826,129.04387198618195,Node
128,부산 북구,35.204476171942076,129.0134319201563,Node
129,부산 사상구,35.15741237373938,128.99546496323504,Node
130,부산 사하구,35.097854069026695,129.01076835110212,Node
131,부산 서구,35.091155299999315,129.0177091891203,Node
132,부산 수영구,35.163490951342155,129.1164367091111,Node
133,부산 연제구,35.192733613505574,129.07942778592815,Node
